Threshold	Monotonic_Precision	Monotonic_Recall	Monotonic_log2FC	Monotonic_F1
0.3638043403625488	0.0064783020581346	0.993916797488226	0.0152143262086822	0.0128727004714483
0.4032711982727051	0.0064786473249518	0.993916797488226	0.0152912138633844	0.0128733820903678
0.4470633566379547	0.00648019457216	0.993916797488226	0.015635720865268	0.0128764366294158
0.4955281913280487	0.0064829759483512	0.993916797488226	0.0162548097977349	0.0128819275331172
0.5492100715637207	0.0064880444064901	0.993916797488226	0.0173822831335479	0.0128919334421589
0.6086612939834595	0.0064998062249279	0.993916797488226	0.019995297750411	0.0129151526741888
0.6745523810386658	0.0065280568096474	0.9938513867085296	0.0262522014732486	0.0129709148959782
0.7475724220275879	0.0066032622514811	0.9937205651491364	0.0427775335852641	0.013119346588836
0.8284971714019775	0.0068160807602976	0.9930010465724752	0.0885410186548581	0.0135392266114787
0.9181837439537048	0.0076186038648023	0.9903846153846154	0.249125232367714	0.0151208892173409
1.0175772905349731	0.0143172333485912	0.9779565672422816	1.159279418342201	0.0282213082108132
1.0203680992126465	0.014999964861872	0.9773024594453166	1.2264858052561345	0.0295464410687818
1.0453150272369385	0.025	0.9720041862899006	1.9634547789998311	0.0487462439805277
1.062227487564087	0.0349999408864665	0.968210361067504	2.448879169516542	0.0675577300931303
1.0776546001434326	0.04499996951015	0.9653976975405548	2.811450708053221	0.0859916216578396
1.0929807424545288	0.0549998128112013	0.9609497645211932	3.100953392625929	0.1040446462085425
1.1089508533477783	0.0649999111537573	0.9570905285191	3.341964430282464	0.1217324747499958
1.1260735988616943	0.0749998713111336	0.9530350601779172	3.548414804268339	0.1390565722602658
1.127728819847107	0.0759335255745073	0.9525117739403454	3.5662636778054373	0.1406542033507034
1.1436127424240112	0.0849997949270819	0.9489141810570382	3.728986044679999	0.156023639619486
1.1619341373443604	0.0949996380840829	0.9443354264782836	3.889448701395072	0.1726325355590498
1.1805286407470703	0.1049993423840769	0.9399529042386184	4.03383507125121	0.1888975063425919
1.199493169784546	0.1149991957535788	0.9353087388801674	4.1650785507226935	0.204815653020884
1.219451665878296	0.125	0.9316457352171638	4.285382873887193	0.2204252816639841
1.2398409843444824	0.1349988103735427	0.9278519099947672	4.396401473122216	0.235703663085832
1.249805927276611	0.1399086649664907	0.925824175824176	4.447940094733864	0.243083105775671
1.2599844932556152	0.1449992302560681	0.924123495552067	4.499500020559346	0.2506675656254712
1.280343532562256	0.1549987880390471	0.9201988487702774	4.595711713874233	0.2653088165959453
1.3015568256378174	0.164999882344636	0.9173207744636316	4.685919774738373	0.2796912706168604
1.3239914178848269	0.1749981188391983	0.912742019884877	4.770794192737741	0.2936880432723675
1.347054958343506	0.1849993996558026	0.907051282051282	4.850975368038707	0.3073189650396144
1.3700560331344604	0.1949975990735248	0.9031266352694924	4.926911139764238	0.3207424443050619
1.385095238685608	0.2012175490970819	0.8993982208267922	4.972210913622652	0.3288608260983952
1.3945035934448242	0.2049983567864718	0.897632129774987	4.999067124508556	0.3337711297579959
1.4191887378692627	0.2149961382658449	0.892203035060178	5.06776552553666	0.3464962975194015
1.444733500480652	0.2249966817095832	0.8870355834641549	5.133358503480232	0.3589465325569084
1.470609188079834	0.2349989546309847	0.8822605965463108	5.196109118121814	0.3711408287931319
1.4960639476776123	0.2449973550281826	0.8785321821036107	5.256220953091668	0.3831462437062289
1.5233176946640017	0.2549992367577469	0.8741496598639455	5.313947707937056	0.3948239186953438
1.5350323915481567	0.2595369306564368	0.8717948717948718	5.339394619640861	0.3999939976891102
1.549360990524292	0.2649966120610626	0.8697671376242805	5.369428694170202	0.4062261326490086
1.577258825302124	0.2749984398726936	0.8647305075876505	5.422878212930537	0.4172913937595682
1.6065199375152588	0.2849956634865568	0.8597592883307169	5.474394746298134	0.4280875455966649
1.6354167461395264	0.2949994356022124	0.8547226582940869	5.524166973288994	0.4386150412030277
1.6653753519058228	0.3049920165304781	0.8496206174777603	5.57222625819132	0.4488561752712696
1.6949864625930786	0.3149929209588439	0.8440607012035584	5.618774185351021	0.4587762647989477
1.7011868953704834	0.3167805693495255	0.8428833071690215	5.626938625267131	0.4604938712789908
1.7263766527175903	0.3249955605165022	0.8379774986917844	5.663874789865319	0.4683495713528433
1.7563438415527344	0.3349913153323859	0.832613814756672	5.707578473109617	0.477761513343092
1.7878704071044922	0.3449923547400612	0.8264652014652014	5.750019170163644	0.4867853290183388
1.8204251527786253	0.3549912236000226	0.8201857666143381	5.791238136503801	0.4955147204109859
1.8553590774536133	0.3649997065211011	0.8135138670852956	5.831350082990507	0.5039098901989385
1.885346412658692	0.3741521317829457	0.8082155939298796	5.867079774091577	0.5115085279019707
1.887866735458374	0.3749962051064088	0.8079539508110937	5.8703307748700375	0.5122441785721691
1.9219759702682493	0.3849880458034478	0.8004971219256933	5.908268428631172	0.5199252272920384
1.954003095626831	0.3949874849657055	0.7948063840920984	5.945261721747928	0.5277192677683439
1.9873206615448	0.4049403461603092	0.788134484563056	5.981164171842723	0.5349998889949604
2.022496223449707	0.4149860917941586	0.7806776556776557	6.016517764529672	0.5419088267344714
2.059031248092652	0.4249901089810452	0.7728937728937729	6.050884044038294	0.5484207839223969
2.089409351348877	0.4340397204038611	0.7676609105180534	6.08128185348418	0.5545396555390176
2.0923991203308105	0.4349987018285672	0.7671376242804814	6.0844658745168685	0.5551847381003101
2.129441976547241	0.4449986571001036	0.7586342229199372	6.117255761375621	0.5609537858818409
2.166690826416016	0.4549381737476221	0.7508503401360545	6.1491252748862415	0.5665844027640671
2.2051661014556885	0.4649647598754302	0.7422161172161172	6.180576156124708	0.5717524942053814
2.2403244972229004	0.4749947246254484	0.7361983254840397	6.211366269708748	0.5774311879537234
2.277960062026977	0.4849749945640356	0.7294610151753009	6.241365142488321	0.5826084685108273
2.314258098602295	0.4948485934420354	0.722592883307169	6.270441956912334	0.5874189088588748
2.314258098602295	0.4948485934420354	0.722592883307169	6.270441956912334	0.5874189088588748
2.357388734817505	0.5046711682545555	0.7137624280481424	6.298798447161198	0.5912760769439176
2.3941445350646973	0.5149840392586593	0.7070251177394035	6.327982498986554	0.5959147669322159
2.438327074050904	0.5249864871505086	0.6988487702773417	6.355735068117941	0.5995678891102444
2.474964141845703	0.5349260984004859	0.6912611198325485	6.382794371755577	0.6031274968610889
2.517085790634156	0.5447472848788638	0.6824306645735218	6.409041879700242	0.6058652729384436
2.556028366088867	0.5549755126204187	0.674515960230246	6.4358788953266	0.6089344238093831
2.566070079803467	0.5574170461938842	0.6724882260596546	6.442211900715597	0.6095695482034863
2.597664833068848	0.5649836501690406	0.6667974882260597	6.461663897569532	0.6116828177972459
2.636214017868042	0.5749957243030615	0.6597331240188383	6.4870060071443145	0.6144567303298912
2.676144361495972	0.5848224782506466	0.6507718472004186	6.511453542816689	0.6160371517027864
2.717223644256592	0.5949773071104387	0.6431187859759289	6.536289422977439	0.6181120925407853
2.7494373321533203	0.601840983505282	0.6372318158032444	6.552837132076216	0.6190309769658459
2.809432029724121	0.6147725085028557	0.6266352694924123	6.583507430799195	0.6206472093550582
2.836564302444458	0.6214766856320711	0.6215986394557823	6.59915504935419	0.6215376565616927
2.836564302444458	0.6214766856320711	0.6215986394557823	6.59915504935419	0.6215376565616927
2.872653007507324	0.6299524032982503	0.614665096807954	6.618697607422489	0.6222148650885615
2.872653007507324	0.6299524032982503	0.614665096807954	6.618697607422489	0.6222148650885615
2.8983540534973145	0.6357303831182135	0.6089089481946625	6.631869819022229	0.6220306705422471
2.943222999572754	0.6458039988735568	0.6000130821559393	6.654551153270381	0.6220670012206699
3.006455421447754	0.6579909343471267	0.5886970172684458	6.681522485965603	0.6214182144583303
3.0696136951446533	0.6723073404985136	0.5769230769230769	6.712575680529713	0.6209737036645897
3.0938141345977783	0.677262180974478	0.5728021978021978	6.723169215413001	0.6206676589411014
3.13198184967041	0.6850094876660342	0.5667189952904239	6.7395787491371495	0.6202749140893472
3.152540683746338	0.6888657648283039	0.5629251700680272	6.747677659920661	0.6195601310248011
3.2086567878723145	0.7001407401274939	0.5531789638932496	6.771099736307256	0.6180436291884387
3.2397608757019043	0.7050105263157894	0.5476190476190477	6.781099577149868	0.6164267569856053
3.298705816268921	0.7153329260843005	0.5361721611721612	6.802069627914255	0.6129285527348861
3.38153076171875	0.7270331667423898	0.5233516483516484	6.8254759593803564	0.6086030502415092
3.443661689758301	0.7351972135931469	0.510858189429618	6.841586077804463	0.6028327737254447
3.493839740753174	0.7422441287329661	0.5023547880690737	6.855348555313702	0.59918080748976
3.5282764434814453	0.7493362179171993	0.4984301412872841	6.869067962417263	0.5986565581176101
3.577755928039551	0.7551307847082495	0.4909733124018838	6.880181312324521	0.595053115585857
3.639200210571289	0.7650971832449849	0.4814887493458922	6.899097790701455	0.5910313541290297
3.705297470092773	0.7750671681891457	0.4717425431711146	6.917776120373022	0.5865083560362705
3.787921667098999	0.7850498711195786	0.4582025117739403	6.93623908463663	0.5786625913840816
3.855799674987793	0.7951009983747388	0.4479984301412872	6.954592910591193	0.5730901179817588
3.872187614440918	0.797634383417262	0.4455128205128205	6.959182379955107	0.571704368993159
3.9223477840423584	0.8051620648259303	0.4387100994243851	6.972733980349049	0.5679566432382082
4.023008346557617	0.8150995714645828	0.4230115122972266	6.99043108678979	0.5569718370510722
4.106237411499023	0.825062524680795	0.4099947671376243	7.007958232453944	0.5477823902119292
4.223430156707764	0.8350159037477527	0.3949502878074307	7.025258454478155	0.5362582707935521
4.29077672958374	0.8407217959647627	0.3869701726844584	7.035083254887542	0.529993299413735
4.339252948760986	0.8454386984311447	0.3806907378335949	7.043154929642636	0.5249864694208912
4.461010456085205	0.8554309417729298	0.3642072213500785	7.0601061708470265	0.5108959948616782
4.576124668121338	0.8650040225261464	0.3516483516483517	7.076161620726106	0.5000232525694089
